"bedrock","zs","zb","depth","height","velocity:0","velocity:1","velocity:2","Points:0","Points:1","Points:2"
-368.34,0,0,299.84,366.47,476.15,-8.6647,0,1.0485e+06,-1.8663,0
-370.47,0,0,270.9,331.1,529.63,-10.043,0,1.0506e+06,-39.371,0
-370.57,0,0,269.39,329.25,532.67,-10.533,0,1.0507e+06,-41.322,0
-370.68,0,0,267.8,327.31,535.71,-11.058,0,1.0508e+06,-43.37,0
-370.78,0,0,266.16,325.3,539.14,-11.455,0,1.0509e+06,-45.478,0
-370.89,0,0,264.49,323.26,542.65,-11.812,0,1.051e+06,-47.623,0
-370.99,0,0,262.8,321.2,546.31,-12.049,0,1.0511e+06,-49.788,0
-371.09,0,0,261.11,319.13,549.95,-12.224,0,1.0512e+06,-51.963,0
-371.2,0,0,259.41,317.05,553.65,-12.339,0,1.0513e+06,-54.143,0
-371.3,0,0,257.71,314.98,557.35,-12.437,0,1.0514e+06,-56.326,0
-371.41,0,0,256,312.89,561.09,-12.526,0,1.0515e+06,-58.511,0
-371.51,0,0,254.3,310.81,564.88,-12.623,0,1.0516e+06,-60.701,0
-371.61,0,0,252.59,308.72,568.73,-12.735,0,1.0517e+06,-62.898,0
-371.72,0,0,250.87,306.61,572.65,-12.865,0,1.0518e+06,-65.104,0
-371.82,0,0,249.14,304.5,576.66,-13.014,0,1.0519e+06,-67.322,0
-371.92,0,0,247.39,302.37,580.75,-13.182,0,1.052e+06,-69.554,0
-372.03,0,0,245.64,300.23,584.93,-13.368,0,1.0521e+06,-71.803,0
-372.13,0,0,243.87,298.06,589.21,-13.569,0,1.0522e+06,-74.069,0
-372.24,0,0,242.08,295.88,593.6,-13.786,0,1.0523e+06,-76.355,0
-372.34,0,0,240.28,293.68,598.1,-14.014,0,1.0524e+06,-78.663,0
-372.44,0,0,238.46,291.45,602.71,-14.254,0,1.0525e+06,-80.992,0
-372.55,0,0,236.62,289.2,607.44,-14.503,0,1.0526e+06,-83.343,0
-372.65,0,0,234.76,286.93,612.3,-14.762,0,1.0527e+06,-85.719,0
-372.75,0,0,232.88,284.64,617.29,-15.026,0,1.0528e+06,-88.119,0
-372.86,0,0,230.98,282.31,622.42,-15.303,0,1.0529e+06,-90.545,0
-372.96,0,0,229.06,279.97,627.7,-15.58,0,1.053e+06,-92.997,0
-373.07,0,0,227.12,277.59,633.12,-15.877,0,1.0531e+06,-95.477,0
-373.17,0,0,225.15,275.18,638.73,-16.173,0,1.0532e+06,-97.985,0
-373.27,0,0,223.16,272.75,644.47,-16.511,0,1.0533e+06,-100.53,0
-373.38,0,0,221.14,270.28,650.47,-16.849,0,1.0534e+06,-103.1,0
-373.48,0,0,219.09,267.77,656.58,-17.293,0,1.0535e+06,-105.71,0
-373.58,0,0,217,265.23,663.04,-17.753,0,1.0536e+06,-108.36,0
-373.69,0,0,214.89,262.64,669.56,-18.46,0,1.0537e+06,-111.05,0
-373.79,0,0,212.73,260.01,676.56,-19.199,0,1.0538e+06,-113.78,0
-373.9,0,0,210.54,257.33,683.49,-20.398,0,1.0539e+06,-116.57,0
-374,0,0,208.33,254.63,691.04,-21.474,0,1.054e+06,-119.37,0
-374.1,0,0,206.11,251.92,698.18,-23.041,0,1.0541e+06,-122.19,0
-374.21,0,0,203.94,249.26,705.76,-23.681,0,1.0542e+06,-124.95,0
-374.31,0,0,201.86,246.72,711.93,-23.994,0,1.0543e+06,-127.6,0
-374.42,0,0,199.96,244.39,717.73,-21.646,0,1.0544e+06,-130.02,0
-374.52,0,0,198.25,242.3,721.36,-18.408,0,1.0545e+06,-132.22,0
-374.62,0,0,195.88,239.41,725.02,-11.162,0,1.0546e+06,-135.21,0
-376.14,0,0,185.11,226.24,773.69,-2.3922,0,1.056e+06,-147.54,0
-377.71,0,0,181.49,221.83,784.92,5.8174,0,1.0575e+06,-141.71,0
-379.34,0,0,178.27,217.88,802.5,-0.5785,0,1.0591e+06,-137.56,0
-381.03,0,0,174.96,213.84,818.28,0.94802,0,1.0607e+06,-136.6,0
-382.79,0,0,172.09,210.34,833.36,1.3059,0,1.0624e+06,-133.78,0
-384.62,0,0,169.3,206.92,848.5,0.60012,0,1.0642e+06,-131.6,0
-386.52,0,0,166.65,203.69,863.48,0.81454,0,1.066e+06,-129.68,0
-388.49,0,0,164.14,200.61,878.26,0.72294,0,1.0679e+06,-127.64,0
-390.54,0,0,161.73,197.67,892.98,0.62263,0,1.0699e+06,-125.79,0
-392.67,0,0,159.43,194.86,907.61,0.60704,0,1.0719e+06,-124.01,0
-394.88,0,0,157.22,192.16,922.16,0.54683,0,1.0741e+06,-122.28,0
-397.17,0,0,155.11,189.57,936.68,0.50464,0,1.0763e+06,-120.64,0
-399.56,0,0,153.07,187.09,951.16,0.46689,0,1.0786e+06,-119.06,0
-402.03,0,0,151.11,184.69,965.62,0.42828,0,1.081e+06,-117.53,0
-404.61,0,0,149.22,182.39,980.08,0.39468,0,1.0834e+06,-116.06,0
-407.28,0,0,147.4,180.16,994.55,0.36271,0,1.086e+06,-114.65,0
-410.05,0,0,145.64,178.01,1009,0.33299,0,1.0887e+06,-113.28,0
-412.93,0,0,143.94,175.93,1023.6,0.30539,0,1.0915e+06,-111.96,0
-415.93,0,0,142.3,173.92,1038.1,0.2795,0,1.0943e+06,-110.68,0
-419.03,0,0,140.71,171.97,1052.8,0.25533,0,1.0973e+06,-109.44,0
-422.26,0,0,139.16,170.09,1067.4,0.23266,0,1.1004e+06,-108.24,0
-425.62,0,0,137.67,168.26,1082.2,0.2114,0,1.1037e+06,-107.08,0
-429.1,0,0,136.22,166.49,1097.1,0.19143,0,1.107e+06,-105.95,0
-432.72,0,0,134.81,164.77,1112,0.17265,0,1.1105e+06,-104.85,0
-436.48,0,0,133.44,163.1,1127.1,0.15497,0,1.1141e+06,-103.79,0
-440.38,0,0,132.12,161.47,1142.2,0.13831,0,1.1179e+06,-102.76,0
-444.43,0,0,130.83,159.9,1157.5,0.12259,0,1.1218e+06,-101.75,0
-448.64,0,0,129.57,158.36,1173,0.10776,0,1.1259e+06,-100.78,0
-453.02,0,0,128.35,156.87,1188.5,0.093743,0,1.1301e+06,-99.829,0
-457.56,0,0,127.17,155.43,1204.3,0.08049,0,1.1344e+06,-98.907,0
-462.28,0,0,126.01,154.02,1220.1,0.067951,0,1.139e+06,-98.011,0
-467.18,0,0,124.89,152.65,1236.2,0.056077,0,1.1437e+06,-97.138,0
-472.27,0,0,123.8,151.31,1252.5,0.044828,0,1.1486e+06,-96.289,0
-477.55,0,0,122.74,150.01,1268.9,0.034164,0,1.1537e+06,-95.463,0
-483.04,0,0,121.7,148.75,1285.5,0.024049,0,1.159e+06,-94.659,0
-488.75,0,0,120.7,147.52,1302.4,0.01445,0,1.1645e+06,-93.877,0
-494.67,0,0,119.72,146.32,1319.5,0.0053358,0,1.1702e+06,-93.116,0
-500.82,0,0,118.77,145.16,1336.8,-0.003321,0,1.1761e+06,-92.375,0
-507.21,0,0,117.84,144.03,1354.4,-0.011547,0,1.1823e+06,-91.654,0
-513.85,0,0,116.94,142.93,1372.2,-0.019366,0,1.1887e+06,-90.953,0
-520.74,0,0,116.06,141.85,1390.3,-0.026802,0,1.1953e+06,-90.271,0
-527.9,0,0,115.21,140.81,1408.7,-0.033875,0,1.2022e+06,-89.607,0
-535.34,0,0,114.38,139.8,1427.3,-0.040604,0,1.2094e+06,-88.962,0
-543.06,0,0,113.57,138.81,1446.3,-0.047009,0,1.2168e+06,-88.334,0
-551.08,0,0,112.79,137.85,1465.6,-0.053105,0,1.2246e+06,-87.724,0
-559.42,0,0,112.03,136.92,1485.3,-0.05891,0,1.2326e+06,-87.131,0
-568.07,0,0,111.29,136.02,1505.3,-0.064437,0,1.2409e+06,-86.555,0
-577.06,0,0,110.57,135.14,1525.6,-0.069701,0,1.2496e+06,-85.995,0
-586.4,0,0,109.87,134.28,1546.4,-0.074715,0,1.2586e+06,-85.452,0
-596.09,0,0,109.19,133.45,1567.6,-0.079491,0,1.2679e+06,-84.925,0
-606.17,0,0,108.53,132.65,1589.1,-0.08404,0,1.2776e+06,-84.413,0
-616.63,0,0,107.89,131.87,1611.1,-0.088374,0,1.2877e+06,-83.917,0
-627.49,0,0,107.27,131.11,1633.6,-0.092502,0,1.2982e+06,-83.436,0
-638.78,0,0,106.68,130.38,1656.5,-0.096435,0,1.309e+06,-82.97,0
-650.5,0,0,106.1,129.67,1680,-0.10018,0,1.3203e+06,-82.518,0
